id,color,is duplo?,size type,base shape,base dimensions,number of studs,has slope?,slope degree,in stock
,Dark Blue,TRUE,Brick,Rectangle,2 x 4,8,FALSE,N/A,1
,Green,TRUE,Brick,Rectangle,2 x 4,8,FALSE,N/A,1
,Coral,TRUE,Brick,Square,2 x 2,4,FALSE,N/A,1
,Red,TRUE,Brick,Square,2 x 2,4,FALSE,N/A,1
,White,TRUE,Brick,Square,2 x 2,4,FALSE,N/A,1
,Green,TRUE,Plate,Rectangle,2 x 4,8,FALSE,N/A,1
,Light Green,TRUE,Plate,Rectangle,2 x 8,16,FALSE,N/A,1
,Orange,FALSE,Brick,Square,2 x 2,4,FALSE,N/A,1
,Orange,FALSE,Plate,Rectangle,1 x 4,4,FALSE,N/A,1
,Yellow,FALSE,Brick,Rectangle,2 x 4,8,FALSE,N/A,1
,Yellow,FALSE,Brick,Rectangle,1 x 3,3,FALSE,N/A,1
,Dark Blue,FALSE,Brick,Rectangle,2 x 6,12,FALSE,N/A,1
,Brown,FALSE,Brick,Rectangle,1 x 2,2,FALSE,N/A,1
,Red,FALSE,Plate,Square,2 x 2,4,FALSE,N/A,1
,Purple,FALSE,Plate,Rectangle,4 x 6,24,FALSE,N/A,1
,Lilac,FALSE,Brick,Square,1 x 2,2,TRUE,45,1
,Orchid,FALSE,Brick,Rectangle,2 x 2,4,TRUE,45,1
,Dark Grey,FALSE,Plate,Rectangle,2 x 8,16,FALSE,N/A,1
,Light Grey,FALSE,Brick,Square,1 x 1,1,FALSE,N/A,1
,Pink,FALSE,Plate,Rectangle,2 x 3,6,FALSE,N/A,1
,Dark Green,FALSE,Plate,Rectangle,2 x 4,8,FALSE,N/A,1
,Cream,FALSE,Brick,Rectangle,2 x 3,6,FALSE,N/A,1
,Red,FALSE,Brick,Circle,2 x 2,4,FALSE,N/A,1
,Black,FALSE,Plate,Trapezium,1 x 4,4,FALSE,N/A,1
,Black,FALSE,Plate,Square,1 x 2,2,FALSE,N/A,1
,Black,FALSE,Brick,Rectangle,1 x 1,1,TRUE,45,1
,Dark Blue,FALSE,Brick,Square,1 x 2,2,TRUE,45,1
,White,FALSE,Plate,Circle,2 x 2,4,FALSE,N/A,1
,Red Brown,FALSE,Plate,Rectangle,0 x 0 ,0,FALSE,N/A,1
,Neon Yellow,FALSE,Plate,Square,0 x 0 ,0,FALSE,N/A,1
,Cyan,FALSE,Plate,Rectangle,1 x 2,2,FALSE,N/A,1
,Denim Blue,FALSE,Plate,Rectangle,0 x 0,0,FALSE,N/A,1
,Ice Blue,FALSE,Brick,Rectangle,1 x 4,4,FALSE,N/A,1
,Capri,FALSE,Brick,Rectangle,1 x 2,2,FALSE,N/A,1
,Shiny Green,FALSE,Brick,Square,0 x 0 ,0,TRUE,45,1
,Olive Green,FALSE,Plate,Rectangle,1 x 2,2,FALSE,N/A,1
,Beige,FALSE,Plate,Trapezium,2 x 2,4,FALSE,N/A,1
,Beige,FALSE,Plate,Square,1 x 1,1,FALSE,N/A,1
,Beige,FALSE,Plate,Circle,2 x 4 + 2 x 2,12,FALSE,N/A,1
,Bright Pink,FALSE,Plate,Circle,1 x 1,1,FALSE,N/A,1
,Transparent,FALSE,Plate,Circle,0 x 0,0,FALSE,N/A,1
